,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18
1,0.02356,0.00596,0.02662,0.00613,0.02659,0.0056,0.02367,0.0054,0.02376,0.00487,0.026737,0.005029,0.026834,0.004463,0.0239,0.004287,0.024105,0.003938,0.026961,0.003903,0.027059,0.003347,0.02416,0.003161,0.024276,0.002614,0.02715,0.002791,0.027254,0.002129,0.024294,0.001997,0.024374,-0.000798,0.02775,-0.00095
2,0.02662,0.00613,0.029886,0.006373,0.03011,0.005787,0.02659,0.0056,0.026737,0.005029,0.03007,0.00525,0.030277,0.004755,0.026834,0.004463,0.026961,0.003903,0.030321,0.00411,0.030429,0.00354,0.027059,0.003347,0.02715,0.002791,0.030549,0.0029,0.030784,0.00207,0.027254,0.002129,0.02775,-0.00095,0.03126,-0.00126
3,0.029886,0.006373,0.03327,0.00641,0.03345,0.00598,0.03011,0.005787,0.03007,0.00525,0.0335,0.00542,0.03363,0.00486,0.030277,0.004755,0.030321,0.00411,0.03368,0.00428,0.03372,0.0037,0.030429,0.00354,0.030549,0.0029,0.03404,0.00306,0.03413,0.00212,0.030784,0.00207,0.03126,-0.00126,0.03441,-0.00147
4,0.03327,0.00641,0.0366,0.00673,0.03683,0.00619,0.03345,0.00598,0.0335,0.00542,0.03687,0.00557,0.03705,0.00505,0.03363,0.00486,0.03368,0.00428,0.03705,0.00447,0.03714,0.00392,0.03372,0.0037,0.03404,0.00306,0.03751,0.0032,0.03765,0.00209,0.03413,0.00212,0.03441,-0.00147,0.03778,-0.0017
5,0.0366,0.00673,0.04015,0.0069,0.04006,0.00638,0.03683,0.00619,0.03687,0.00557,0.0402,0.00579,0.04043,0.00526,0.03705,0.00505,0.03705,0.00447,0.04052,0.00467,0.04061,0.00413,0.03714,0.00392,0.03751,0.0032,0.04079,0.00331,0.04098,0.00219,0.03765,0.00209,0.03778,-0.0017,0.0412,-0.00196
6,0.04015,0.0069,0.0438,0.00692,0.04385,0.00634,0.04006,0.00638,0.0402,0.00579,0.04403,0.00574,0.04412,0.00514,0.04043,0.00526,0.04052,0.00467,0.04403,0.00459,0.04403,0.00404,0.04061,0.00413,0.04079,0.00331,0.04453,0.00331,0.04467,0.00227,0.04098,0.00219,0.0412,-0.00196,0.0449,-0.00214
7,0.0438,0.00692,0.04727,0.00677,0.04754,0.00627,0.04385,0.00634,0.04403,0.00574,0.04754,0.00568,0.0475,0.00499,0.04412,0.00514,0.04403,0.00459,0.04764,0.00436,0.04782,0.00366,0.04403,0.00404,0.04453,0.00331,0.04805,0.00325,0.04791,0.00228,0.04467,0.00227,0.0449,-0.00214,0.04832,-0.00235
8,0.04727,0.00677,0.05092,0.0068,0.05092,0.00609,0.04754,0.00627,0.04754,0.00568,0.05106,0.00537,0.05119,0.00495,0.0475,0.00499,0.04764,0.00436,0.05124,0.00436,0.05133,0.0038,0.04782,0.00366,0.04805,0.00325,0.05142,0.00324,0.05133,0.00231,0.04791,0.00228,0.04832,-0.00235,0.05197,-0.00246
9,0.05092,0.0068,0.05448,0.00666,0.05466,0.00597,0.05092,0.00609,0.05106,0.00537,0.05448,0.00544,0.05454,0.00485,0.05119,0.00495,0.05124,0.00436,0.05461,0.00427,0.05484,0.0037,0.05133,0.0038,0.05142,0.00324,0.05489,0.00332,0.05466,0.00231,0.05133,0.00231,0.05197,-0.00246,0.05525,-0.00257
10,0.05448,0.00666,0.05785,0.00651,0.0579,0.00586,0.05466,0.00597,0.05448,0.00544,0.05785,0.00527,0.0579,0.00481,0.05454,0.00485,0.05461,0.00427,0.05799,0.00423,0.05803,0.00355,0.05484,0.0037,0.05489,0.00332,0.05813,0.00308,0.05822,0.00238,0.05466,0.00231,0.05525,-0.00257,0.05863,-0.0027
11,0.05785,0.00651,0.06114,0.00649,0.06118,0.00578,0.0579,0.00586,0.05785,0.00527,0.06127,0.00526,0.06114,0.00467,0.0579,0.00481,0.05799,0.00423,0.06127,0.00411,0.06127,0.00355,0.05803,0.00355,0.05813,0.00308,0.06141,0.00298,0.06155,0.00243,0.05822,0.00238,0.05863,-0.0027,0.06241,-0.00275

